,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,mcc,cohen_kappa,specificity_macro
MobileNetV2,0.9367816091954023,0.9355564285151337,0.938106874372794,0.9355564285151337,0.9366544794432444,0.9367674249335066,0.9207832408544594,0.9206854953818386,0.9840818098790605
EfficientNetB0,0.9176245210727969,0.9174170365248472,0.9172314325193291,0.9174170365248472,0.9168357565936949,0.9169296393889366,0.8969194428074264,0.896696458979575,0.9793422971468523
EfficientNetB1,0.9291187739463601,0.9284559139072727,0.9311754328586013,0.9284559139072727,0.9292516931543016,0.9296294982500681,0.911395426723707,0.9111227687507766,0.9822780060494101
Ensemble,0.9406130268199234,0.9404427735447115,0.941937547055244,0.9404427735447115,0.9408547676636845,0.9410484732733488,0.9257135550311306,0.9255431731804503,0.9851506317143425
